City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,19.87,88,6,1.34,PT,1690349506
1,yinchuan,38.4681,106.2731,35.83,19,96,3.33,CN,1690349506
2,saldanha,-33.0117,17.9442,13.24,74,100,1.29,ZA,1690349506
3,nazyvayevsk,55.5698,71.3529,24.78,45,98,3.6,RU,1690349506
4,isafjordur,66.0755,-23.124,6.69,84,64,3.51,IS,1690349506
5,margaret river,-33.95,115.0667,11.73,77,96,10.62,AU,1690349506
6,avarua,-21.2078,-159.775,21.03,73,40,1.03,CK,1690349506
7,contamana,-7.3333,-75.0167,25.67,67,88,1.02,PE,1690349507
8,adamstown,-25.066,-130.1015,21.71,78,99,15.35,PN,1690349507
9,natal,-5.795,-35.2094,22.12,94,20,3.09,BR,1690349290
10,port-aux-francais,-49.35,70.2167,3.34,96,88,13.52,TF,1690349369
11,brazzaville,-4.2658,15.2832,21.2,83,20,1.54,CG,1690349507
12,callao,-12.0667,-77.15,20.16,77,100,3.6,PE,1690349507
13,grytviken,-54.2811,-36.5092,-2.57,88,90,4.58,GS,1690349507
14,ushuaia,-54.8,-68.3,0.81,86,0,9.77,AR,1690349507
15,yalutorovsk,56.6536,66.3006,23.72,48,2,5.15,RU,1690349508
16,saudarkrokur,65.7461,-19.6394,7.64,90,32,1.97,IS,1690349508
17,broome,42.2506,-75.833,19.82,95,45,1.05,US,1690349508
18,enewetak,11.3474,162.3373,28.64,80,86,7.5,MH,1690349508
19,el granada,37.5027,-122.4694,20.59,82,20,5.14,US,1690349508
20,antalaha,-14.9003,50.2788,24.36,66,12,4.48,MG,1690349508
21,bredasdorp,-34.5322,20.0403,10.66,58,98,1.59,ZA,1690349508
22,hermanus,-34.4187,19.2345,12.88,62,86,2.37,ZA,1690349509
23,colombo,6.9319,79.8478,29.97,76,100,4.71,LK,1690349509
24,paramonga,-10.6667,-77.8333,19.07,85,58,3.31,PE,1690349509
25,preobrazheniye,42.9019,133.9064,24.17,80,100,4.38,RU,1690349509
26,pekanbaru,0.5333,101.45,33.18,55,20,3.6,ID,1690349509
27,port mathurin,-19.6833,63.4167,23.52,80,79,5.96,MU,1690349509
28,nishinoomote,30.7333,131.0,30.31,89,75,5.14,JP,1690349509
29,puerto ayacucho,5.6639,-67.6236,22.98,94,99,0.95,VE,1690349509
30,bilibino,68.0546,166.4372,10.63,94,100,0.66,RU,1690349510
31,wailua homesteads,22.0669,-159.378,27.24,87,100,6.17,US,1690349510
32,olinda,-8.0089,-34.8553,22.85,100,75,3.6,BR,1690349510
33,okhotsk,59.3833,143.3,17.79,76,100,4.41,RU,1690349510
34,kapoeta,4.7717,33.5903,26.12,62,96,2.62,SS,1690349510
35,waitangi,-43.9535,-176.5597,7.68,95,99,0.45,NZ,1690349510
36,afaahiti,-17.75,-149.2833,23.93,87,5,4.91,PF,1690349510
37,usol'ye,59.4268,56.6808,16.18,84,68,2.24,RU,1690349510
38,pisco,-13.7,-76.2167,16.12,82,0,1.03,PE,1690349511
39,hamilton,39.1834,-84.5333,24.4,84,0,3.09,US,1690349290
40,qaqortoq,60.7167,-46.0333,4.9,93,4,0.92,GL,1690349435
41,danielskuil,-28.1887,23.5395,11.28,71,22,8.79,ZA,1690349511
42,new norfolk,-42.7826,147.0587,14.95,75,100,2.66,AU,1690349511
43,aasiaat,68.7098,-52.8699,2.32,95,69,0.99,GL,1690349511
44,newman,37.3138,-121.0208,28.13,43,0,2.12,US,1690349511
